                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.0727,                0.70155,                 1.1532,                0.76076,                0.63753,                0.68992,                0.40471,                 1.1388,                0.72328,                 1.2413,              0.0077334,              0.0077334,              0.0077334
                     89,                 1.0739,                0.70649,                 1.1539,                0.71629,                0.61371,                0.66533,                0.39553,                 1.1379,                0.73487,                 1.2497,              0.0077074,              0.0077074,              0.0077074
                     90,                  1.074,                0.70235,                 1.1559,                  0.737,                 0.6183,                0.67658,                0.40588,                 1.1403,                0.72947,                  1.247,              0.0076813,              0.0076813,              0.0076813
                     91,                 1.0712,                0.70685,                 1.1523,                  0.716,                0.61948,                0.67179,                0.41342,                 1.1333,                0.72693,                  1.246,              0.0076553,              0.0076553,              0.0076553
                     92,                 1.0673,                0.70682,                 1.1555,                0.72713,                0.61135,                 0.6744,                0.41221,                 1.1271,                0.72942,                 1.2405,              0.0076292,              0.0076292,              0.0076292
                     93,                 1.0712,                  0.715,                 1.1562,                0.76035,                0.58452,                0.67159,                0.40936,                 1.1515,                0.70094,                 1.2545,              0.0076032,              0.0076032,              0.0076032
                     94,                  1.068,                0.70041,                  1.152,                0.74652,                0.62523,                0.70043,                0.41883,                 1.1481,                0.70734,                 1.2552,              0.0075771,              0.0075771,              0.0075771
                     95,                 1.0636,                0.69614,                 1.1452,                0.75657,                0.60741,                0.66669,                0.41469,                 1.1521,                0.70766,                 1.2566,              0.0075511,              0.0075511,              0.0075511
                     96,                  1.064,                0.70024,                 1.1496,                  0.715,                0.60944,                0.66261,                0.40589,                 1.1516,                0.70556,                  1.256,               0.007525,               0.007525,               0.007525
                     97,                 1.0611,                 0.6971,                 1.1445,                0.67862,                0.63541,                0.66948,                0.40839,                 1.1555,                0.71423,                 1.2636,              0.0074989,              0.0074989,              0.0074989
                     98,                 1.0619,                0.69007,                 1.1474,                0.73066,                0.62682,                0.68827,                0.41394,                 1.1412,                0.70669,                 1.2501,              0.0074729,              0.0074729,              0.0074729
                     99,                 1.0537,                0.69059,                 1.1442,                0.68843,                0.66988,                0.69906,                0.41498,                 1.1469,                0.69938,                 1.2542,              0.0074468,              0.0074468,              0.0074468
                    100,                 1.0558,                0.68775,                 1.1419,                0.75013,                 0.6586,                0.69834,                0.41657,                 1.1492,                0.71105,                 1.2571,              0.0074208,              0.0074208,              0.0074208
                    101,                 1.0532,                0.68718,                 1.1429,                0.69924,                0.64318,                0.68813,                0.41695,                  1.151,                0.71399,                 1.2565,              0.0073947,              0.0073947,              0.0073947
                    102,                 1.0668,                0.69043,                 1.1521,                0.74203,                0.62802,                0.69124,                0.41266,                 1.1437,                0.70823,                 1.2517,              0.0073687,              0.0073687,              0.0073687
                    103,                 1.0606,                0.68568,                 1.1441,                0.73492,                0.62614,                0.70229,                 0.4196,                 1.1412,                0.70514,                 1.2429,              0.0073426,              0.0073426,              0.0073426
                    104,                 1.0529,                0.69036,                 1.1424,                0.72452,                0.66849,                0.70734,                0.41526,                 1.1407,                0.71257,                 1.2449,              0.0073166,              0.0073166,              0.0073166
                    105,                 1.0531,                0.69259,                 1.1451,                 0.7261,                0.67911,                0.71345,                0.42731,                 1.1293,                0.70651,                 1.2396,              0.0072905,              0.0072905,              0.0072905
                    106,                 1.0453,                0.68181,                 1.1368,                0.78017,                0.64448,                 0.7072,                0.43019,                  1.135,                0.70283,                  1.242,              0.0072645,              0.0072645,              0.0072645
                    107,                 1.0489,                0.67618,                 1.1357,                0.74789,                0.67952,                0.70655,                 0.4256,                 1.1375,                0.71042,                 1.2438,              0.0072384,              0.0072384,              0.0072384
                    108,                 1.0563,                0.68391,                 1.1427,                0.77911,                0.66046,                0.70206,                0.41969,                 1.1299,                 0.6997,                 1.2411,              0.0072124,              0.0072124,              0.0072124
                    109,                 1.0433,                0.66899,                 1.1326,                0.78992,                0.65782,                0.69943,                0.42367,                 1.1316,                0.70025,                 1.2409,              0.0071863,              0.0071863,              0.0071863
                    110,                  1.042,                0.66656,                 1.1332,                0.79431,                0.66045,                 0.7024,                0.42152,                 1.1322,                0.70284,                 1.2394,              0.0071603,              0.0071603,              0.0071603
                    111,                 1.0422,                0.66996,                  1.135,                0.77553,                0.64945,                0.70542,                0.43058,                 1.1287,                0.69533,                 1.2399,              0.0071342,              0.0071342,              0.0071342
